user_id,product_id,rating,timestamp
user_0164,product_015,1,2025-01-31
user_0063,product_029,2,2025-04-29
user_0174,product_095,5,2025-05-07
user_0152,product_055,1,2025-05-04
user_0056,product_030,4,2025-06-07
user_0144,product_026,5,2024-06-26
user_0140,product_054,3,2024-08-23
user_0072,product_001,5,2025-03-31
user_0179,product_055,3,2025-04-02
user_0056,product_098,3,2025-05-04
user_0098,product_013,4,2024-12-26
user_0155,product_034,5,2024-10-28
user_0138,product_016,5,2024-12-09
user_0021,product_071,3,2024-08-03
user_0159,product_047,4,2024-06-25
user_0018,product_006,5,2025-01-23
user_0021,product_030,5,2024-12-08
user_0072,product_059,4,2024-12-16
user_0042,product_048,4,2024-07-12
user_0069,product_090,5,2024-07-24
user_0019,product_078,4,2024-09-20
user_0187,product_032,3,2024-12-08
user_0070,product_082,5,2025-02-28
user_0176,product_042,5,2025-05-23
user_0059,product_005,5,2024-11-27
user_0069,product_009,3,2024-09-03
user_0184,product_041,3,2024-10-08
user_0102,product_083,4,2025-02-05
user_0036,product_032,5,2024-09-18
user_0068,product_096,4,2024-08-26
user_0103,product_047,3,2025-04-11
user_0131,product_064,2,2025-05-27
user_0029,product_020,4,2024-07-07
user_0109,product_077,2,2024-12-07
user_0153,product_060,4,2024-09-10
user_0003,product_088,5,2024-07-06
user_0138,product_097,3,2024-07-27
user_0088,product_015,3,2025-04-01
user_0117,product_001,5,2025-02-06
user_0129,product_098,3,2025-04-27
user_0161,product_039,5,2024-10-04
user_0156,product_026,3,2025-03-30
user_0139,product_100,5,2025-06-20
user_0154,product_042,4,2025-04-24
user_0093,product_040,3,2025-02-17
user_0146,product_011,2,2024-10-15
user_0018,product_098,4,2025-04-17
user_0033,product_085,4,2024-09-12
user_0043,product_034,4,2024-08-14
user_0109,product_028,5,2024-07-02
user_0052,product_092,3,2024-07-12
user_0167,product_048,4,2024-09-29
user_0116,product_016,3,2025-05-19
user_0087,product_003,4,2025-02-23
user_0151,product_029,1,2024-06-23
user_0162,product_008,3,2025-06-04
user_0085,product_010,4,2025-01-29
user_0172,product_063,3,2025-04-14
user_0186,product_074,4,2025-02-16
user_0122,product_053,3,2025-05-02
user_0169,product_056,4,2024-11-22
user_0120,product_094,2,2024-07-21
user_0166,product_013,2,2024-12-29
user_0028,product_032,3,2024-09-19
user_0115,product_018,4,2025-01-29
user_0119,product_032,5,2025-05-13
user_0114,product_071,2,2024-07-22
user_0139,product_002,5,2025-02-19
user_0043,product_053,4,2025-03-03
user_0103,product_008,3,2025-06-19
user_0100,product_034,5,2024-10-31
user_0074,product_055,5,2024-09-09
user_0170,product_092,4,2025-03-15
user_0076,product_028,5,2024-08-28
user_0189,product_070,2,2025-01-11
user_0015,product_007,4,2024-10-06
user_0136,product_021,2,2024-10-03
user_0021,product_024,2,2025-05-17
user_0173,product_031,4,2024-09-02
user_0064,product_075,4,2024-08-07
user_0021,product_054,5,2024-09-04
user_0134,product_041,5,2025-03-08
user_0172,product_092,3,2025-02-05
user_0102,product_017,5,2025-01-18
user_0118,product_041,5,2025-05-14
user_0003,product_059,4,2024-09-05
user_0026,product_010,4,2024-10-04
user_0068,product_017,5,2025-05-16
user_0063,product_048,3,2024-11-08
user_0140,product_091,3,2024-07-21
user_0136,product_002,5,2024-09-10
user_0077,product_085,2,2025-04-13
user_0068,product_015,5,2024-09-10
user_0040,product_035,3,2025-03-05
user_0184,product_044,3,2024-07-31
user_0068,product_065,4,2025-05-25
user_0024,product_082,4,2025-01-30
user_0012,product_001,3,2025-04-15
user_0164,product_034,3,2024-11-06
user_0142,product_091,4,2025-06-16
user_0029,product_010,5,2024-07-02
user_0039,product_070,1,2024-12-13
user_0150,product_071,2,2025-04-16
user_0011,product_040,4,2025-05-31
user_0092,product_027,5,2024-07-14
user_0027,product_046,5,2024-11-24
user_0159,product_096,3,2025-02-19
user_0042,product_023,5,2025-06-08
user_0046,product_095,5,2024-11-22
user_0172,product_095,5,2025-02-04
user_0041,product_090,2,2025-06-01
user_0121,product_029,3,2024-10-28
user_0090,product_040,5,2025-02-24
user_0058,product_004,5,2024-11-28
user_0085,product_036,5,2025-01-29
user_0090,product_083,4,2024-07-08
user_0138,product_043,5,2025-04-22
